time,initialValue,baleNumber,rxThrottle,outputThrottle,rpm,voltage,busbarCurrent,phaseWireCurrent,mosfetTemp,capacitorTemp,statusCode,verifyCode
1666879826.1136305,18258690,7202,11.71875,11.71875,902,2520,1,30,30.922399999999996,1.0879999999999939,0,17925
1666879826.1452866,18258690,7203,11.71875,11.71875,903,2530,1,28,30.922399999999996,1.0879999999999939,0,18181
1666879826.1936193,18258690,7204,11.71875,11.71875,902,2520,3,27,30.922399999999996,1.0879999999999939,0,18181
1666879826.2261882,18258690,7205,11.71875,11.71875,897,2520,3,28,30.922399999999996,1.0879999999999939,0,17413
1666879826.2736015,18258690,7206,11.71875,11.71875,901,2520,4,31,30.922399999999996,1.0879999999999939,0,19717
1666879826.30569,18258690,7207,11.71875,11.71875,904,2520,1,26,30.922399999999996,1.0879999999999939,0,18693
1666879826.3537989,18258690,7208,11.71875,11.71875,902,2520,3,27,30.922399999999996,1.0879999999999939,0,19205
1666879826.4011428,18258690,7209,11.71875,11.71875,897,2520,4,29,30.922399999999996,1.0879999999999939,0,18949
1666879826.4330964,18258690,7210,11.71875,11.71875,898,2520,3,29,30.922399999999996,1.0879999999999939,0,19205
1666879826.4815266,18258690,7211,11.71875,11.71875,901,2520,3,26,30.922399999999996,1.0879999999999939,0,19461
1666879826.5132742,18258690,7212,11.71875,11.71875,897,2520,3,27,30.922399999999996,1.0879999999999939,0,18949
1666879826.5626633,18258690,7213,11.71875,11.71875,898,2520,1,29,30.922399999999996,1.0879999999999939,0,19461
1666879826.5945823,18258690,7214,11.71875,11.71875,895,2520,4,32,30.922399999999996,1.0879999999999939,0,20485
1666879826.6409461,18258690,7215,11.71875,11.71875,902,2520,1,27,30.922399999999996,1.0879999999999939,0,20485
1666879826.67287,18258690,7216,11.71875,11.71875,901,2520,3,27,30.922399999999996,1.0879999999999939,0,20997
1666879826.7207317,18258690,7217,11.71875,11.71875,897,2520,1,28,30.922399999999996,1.0879999999999939,0,19973
1666879826.752647,18258690,7218,11.71875,11.71875,895,2520,1,28,30.922399999999996,1.0879999999999939,0,19717
1666879826.8005185,18258690,7219,11.71875,11.71875,897,2520,3,28,30.922399999999996,1.0879999999999939,0,20997
1666879826.8324332,18258690,7220,11.71875,11.71875,897,2520,1,29,30.922399999999996,1.0879999999999939,0,20997
1666879826.8803048,18258690,7221,11.71875,11.71875,895,2520,4,30,30.922399999999996,1.0879999999999939,0,21765
1666879826.912219,18258690,7222,11.71875,11.71875,894,2520,1,31,30.922399999999996,1.0879999999999939,0,21253
1666879826.9605398,18258690,7223,11.71875,11.71875,897,2520,1,29,30.922399999999996,1.0879999999999939,0,21765
1666879827.0087285,18258690,7224,11.71875,11.71875,902,2520,3,29,30.922399999999996,1.0879999999999939,0,23813
1666879827.0404947,18258690,7225,11.71875,11.71875,902,2520,1,29,30.922399999999996,1.0879999999999939,0,23557
1666879827.0877316,18258690,7226,11.71875,11.71875,900,2520,3,29,30.922399999999996,1.0879999999999939,0,23813
1666879827.1198967,18258690,7227,11.71875,11.71875,899,2520,1,30,30.922399999999996,1.0879999999999939,0,23557
1666879827.1680315,18258690,7228,11.71875,11.71875,899,2520,1,33,30.922399999999996,1.0879999999999939,0,24581
1666879827.200044,18258690,7229,11.71875,11.71875,901,2520,4,33,30.922399999999996,1.0879999999999939,0,26117
1666879827.2481706,18258690,7230,11.71875,11.71875,905,2520,4,34,30.922399999999996,1.0879999999999939,0,27653
1666879827.2801623,18258690,7231,11.71875,11.71875,908,2520,1,29,30.922399999999996,1.0879999999999939,0,26629
1666879827.3277357,18258690,7232,11.71875,11.71875,907,2520,4,32,30.922399999999996,1.0879999999999939,0,28165
1666879827.3600574,18258690,7233,11.71875,11.71875,908,2520,4,31,30.922399999999996,1.0879999999999939,0,28421
